Cow No.,Cow Name,Group No.,Previous Group No.,Group Change Date,Days Since Group Change,Sex,Days In Pregnancy,Insem Date,Breed,Transp. No.,No. of Lact.,Days In Milk,Cull flagged,Birth Date,Age Years,Age Months,Age Days,Group No.,Breeding Status,Breeding State (Code),Preg Check Date,Tot. Milk Yest.,Yield This Week ,Milk Last Month,Milk This Month,Monthly Milk Jan,Monthly Milk Feb,Monthly Milk Mar,Monthly Milk April,Monthly Milk May,Monthly Milk June,Monthly Milk July,Monthly Milk Aug,Monthly Milk Sept,Monthly Milk Oct,Monthly Milk Nov,Monthly Milk Dec,Breeding State,Pregnant,Preg. Check Count,Preg Check Date,Abortion Date,Calving Interval,Number Calf 1,Number Calf 2,Sex Calf 1,Sex Calf 2,Days Since Calving,Last Calving Month,Calved Date,Delivery
19,-,3,2,22.07.31,12,Female,0,22.07.06,Holstein,7122,2,129,-,19.04.01,3.4,40.4,1229,3,Bred,2,-,37.8,233.4,1334,436,686,0,0,1073,1458,1328,1334,436,0,0,0,478,Pregn. Check,-,0,-,-,369,13002,-,Male,-,129,Apr,22.04.05,Easy
21,-,3,2,22.07.31,12,Female,0,22.07.06,Holstein,9179,2,129,-,19.04.02,3.4,40.3,1228,3,Bred,2,-,38.9,232,1389,441,740,0,0,1138,1524,1356,1389,441,0,0,0,600,Pregn. Check,-,0,-,-,369,12996,-,Male,-,129,Apr,22.04.05,Easy
25,-,1,80,22.08.08,4,Female,0,-,Holstein,6805,2,4,-,19.04.03,3.4,40.3,1227,1,Fresh,0,-,32.9,96.2,0,96,1008,901,952,860,421,0,0,96,1123,1103,1099,1067,Report Heat,-,0,-,-,-,13374,-,Male,-,4,Aug,22.08.08,-
29,-,3,2,22.07.31,12,Female,0,22.06.29,Holstein,6654,2,137,-,19.04.07,3.3,40.2,1223,3,Pregnant (1st Preg Check),3,22.08.06,38.9,250.5,1392,473,418,0,52,1232,1413,1375,1392,473,1043,1055,947,999,2nd Pregn. Check,-,1,22.08.06,-,370,12972,-,Male,-,137,Mar,22.03.28,Easy
31,-,3,2,22.07.31,12,Female,0,22.06.29,Holstein,3228,2,132,-,19.04.10,3.3,40.1,1220,3,Pregnant (1st Preg Check),3,22.08.06,46.4,277.6,1592,516,873,13,0,1298,1715,1631,1592,516,1188,1187,1158,1083,2nd Pregn. Check,-,1,22.08.06,-,365,2701,-,Female,-,132,Apr,22.04.02,-
37,-,3,2,22.07.31,12,Female,0,22.08.03,Holstein,1778,2,141,-,19.04.11,3.3,40,1219,3,Bred,1,22.07.14,38.5,225.5,1413,421,282,0,211,1484,1609,1393,1413,421,1019,969,938,728,Inseminate,-,0,22.07.14,-,409,12955,-,Male,-,141,Mar,22.03.24,Easy
39,-,2,22,22.07.31,12,Female,0,-,Holstein,6703,2,55,-,19.04.14,3.3,40,1216,2,Fresh,1,-,34.9,235.8,1140,449,983,806,943,311,0,316,1140,449,1148,1111,1113,1165,Inseminate,-,0,-,-,-,2881,-,Female,-,55,Jun,22.06.18,Hard
42,-,3,2,22.07.31,12,Female,0,22.05.16,Holstein,6467,2,139,-,19.04.16,3.3,39.9,1214,3,Pregnant (1st Preg Check),3,22.07.04,35.4,211.3,1228,388,481,0,146,1311,1385,1278,1228,388,882,838,867,902,2nd Pregn. Check,-,1,22.07.04,-,328,12963,-,Male,-,139,Mar,22.03.26,Easy
43,-,6,5,22.07.31,12,Female,0,22.07.04,Holstein,3150,1,488,-,19.04.17,3.3,39.9,1213,6,Open,1,22.08.11,21.7,142.3,689,257,780,676,789,762,712,702,689,257,922,937,910,763,Inseminate,-,0,22.08.11,-,726,11980,-,Male,-,488,Apr,21.04.11,Easy
46,-,1,80,22.08.06,6,Female,0,-,Holstein,591,2,6,-,19.04.17,3.3,39.9,1213,1,Fresh,0,-,32.8,144.4,0,144,1244,1134,1179,1172,1093,58,0,144,1221,1267,1195,1300,Report Heat,-,0,-,-,-,13361,-,Male,-,6,Aug,22.08.06,-
